:UNDIRECTED_ID,:UNDIRECTED_ID,:LABEL,since:DATE
a42,a40,Knows,1998-03-07
a27,a3,Knows,1971-08-13
a47,a19,Knows,1983-11-21
a8,a13,Knows,1982-04-12
a3,a19,Knows,1977-05-29
a47,a10,Knows,1976-04-05
a26,a36,Knows,2012-07-19
a16,a8,Knows,2022-02-22
a0,a35,Knows,2004-05-28
a2,a37,Knows,2015-01-25
a13,a36,Knows,2024-05-01
a29,a10,Knows,2007-10-30
a49,a45,Knows,2009-09-05
a39,a32,Knows,1981-05-06
a2,a24,Knows,1973-09-16
a12,a22,Knows,2001-09-18
a6,a13,Knows,2005-08-04
a36,a43,Knows,2017-06-24
a27,a37,Knows,2014-02-04
a12,a31,Knows,1982-01-26
a6,a42,Knows,2016-07-16
a24,a18,Knows,1998-05-26
a32,a31,Knows,1993-12-28
a1,a20,Knows,2002-10-11
a39,a25,Knows,2019-12-21
a18,a1,Knows,1997-01-08
a10,a12,Knows,2014-10-31
a20,a36,Knows,1982-03-19
a8,a21,Knows,1981-02-15
a27,a13,Knows,1997-05-28
a17,a43,Knows,2019-11-27
a6,a24,Knows,1983-01-23
a35,a22,Knows,1995-02-08
a43,a34,Knows,1990-05-21
a31,a49,Knows,2020-09-01
a34,a15,Knows,1980-06-26
a4,a46,Knows,1996-10-08
a2,a5,Knows,1974-01-14
a8,a10,Knows,2016-09-06
a10,a34,Knows,2024-03-16
a13,a17,Knows,1992-08-12
a48,a21,Knows,1970-06-17
a38,a32,Knows,1999-07-16
a16,a23,Knows,1991-02-20
a7,a18,Knows,2018-08-22
a15,a38,Knows,1974-03-30
a31,a8,Knows,2004-03-11
a37,a35,Knows,1998-04-27
a49,a6,Knows,2002-02-08
a20,a2,Knows,1993-08-18
